Name,Type,RoadName,ParcelNumber,PostalCode
성덕실버타운,노인복지,대구 동구 서촌로21길 20-16,덕곡동 592,41000
근영실버타운,노인복지,경기 화성시 정남면 덕절중앙길 1-17,덕절리 178-6,18515
어버이사랑노인의료실버타운 병설데이케어센터3,재가노인요양센터,서울 영등포구 도림로 323 건영상가 2층,신길동 364 건영상가 2층,07380
왕지실버타운요양원.주간보호센터.,"요양원,요양센터",전남 순천시 왕지로 187,왕지동 162,57931
군포행복실버타운,노인복지,경기 군포시 고산로250번길 12 5층,당동 917-4 5층,15856
희연실버타운,노인복지,대구 북구 산격로 17,산격동 1433-10,41543
한사랑실버타운,노인복지,대구 동구 반야월로18길 48,율하동 233-2,41119
의왕브이아이피실버타운,노인복지,경기 의왕시 잿말길 43-1,월암동 651-3,16107
아름다운실버타운,노인복지,경북 청송군 청송읍 길안청송로 1692-29,덕리 300,37432
한국노인복지진흥재단포천실버타운,노인복지,경기 포천시 내촌면 금강로2536번길 112-12,소학리 314-8,11189
에덴실버타운,노인복지,광주 광산구 노안삼도로 1323,삼거동 322-7,62407
로뎀나무실버타운,노인복지,경북 구미시 고아읍 들성로9길 20-39,문성리 1236,
동해약천온천실버타운 구내식당,노인복지,,240080,
한사랑실버타운,노인복지,경남 산청군 생비량면 비량로 411-7,가계리 1023,52255
참사랑실버타운,노인복지,대구 서구 가르뱅이로21길 3,상리동 214-1,41750
섬김실버타운,노인복지,광주 서구 용두길 123,용두동 637-1,62078
호산실버타운,노인복지,대구 북구 관음동로9길 22 호산실버타운,관음동 600-1 호산실버타운,41444
대경실버타운2,노인복지,대구 달서구 학산로50길 51,송현동 188-5,42739
에덴실버타운주간보호센터,노인복지,경남 합천군 대양면 대야로 669,정양리 208,50239
단포실버타운,재가노인요양센터,경북 영천시 고경면 단포구보길 65,단포리 342-10,38900
백향그린실버타운,노인복지,인천 강화군 길상면 길상로304번길 49-20 백향실버타운,장흥리 445-4,23050
예솜실버타운&방문요양,노인복지,경기 파주시 광탄면 보광로 509-9 예솜실버타운&방문요양,영장리 39-2 예솜실버타운&방문요양,10953
우리실버타운,노인복지,경북 영천시 완산4길 127,완산동 709-16,38894
실버타운경로당,노인복지,전북 김제시 하동1길 79-1,하동 404-20,54366
장수실버타운,노인복지,경북 영천시 수원지길 75,성내동 243-6,38841
흰돌실버타운문화센타,노인복지,부산 수영구 연수로260번길 53,망미동 774-283,48239
경북실버타운,노인복지,대구 달서구 조암남로14길 19,월성동 1544-2,42756
효원실버타운,노인복지,대구 남구 두류공원로 110,대명동 3045-29,42460
효자실버타운,노인복지,대구 달성군 화원읍 사문진로 447,천내리 156-1,42955
울릉송담실버타운,노인복지,경북 울릉군 서면 학포길 36,태하리 405,40203
실버복지타운,노인복지,제주 제주시 구좌읍 종달논길 33,종달리 1113-14,63364
조이실버복지타운,재가노인요양센터,서울 성북구 화랑로11길 26 갑을명가B 109호,하월곡동 227 갑을명가B 109호,02751
태백시종합실버복지타운,노인복지,강원 태백시 황장목이길 23,문곡동 4-9,26044
사회복지법인자혜복지재단노량실버타운,"요양원,요양센터",경남 하동군 금남면 연화마을길 49-15,노량리 110-4,52352
고흥실버타운요양원,"요양원,요양센터",전남 고흥군 고흥읍 고흥로 1997-8,남계리 161-2,59535
더헤리티지,아파트,경기 성남시 분당구 대왕판교로 155 더 헤리티지,금곡동 305-2,13552
실버타운오피스텔,오피스텔,서울 서초구 서초대로77길 45,서초동 1308-4,06612
청담실버타운2차,주택,서울 강남구 도산대로83길 46,청담동 112-9,06011
논현실버타운빌라,주택,서울 강남구 논현로115길 53,논현동 179,06118
이팝나무실버라이프,노인복지,대전 중구 대흥로 20 4층,대사동 248-263 4층,34945
서초실버타운,주택,서울 서초구 서운로9길 50,서초동 1350-3,06726
회성실버타운,주택,경기 남양주시 화도읍 경춘로1842번길 13-1,녹촌리 245-4,12178
신정실버타운7차,주택,서울 양천구 중앙로54길 24,신정동 930-30,07942
새아침실버홈,노인복지,경기 이천시 마장면 서이천로147번길 57,이치리 551,17385
명천실버복지관,노인복지,충남 보령시 흥곡천변로 85 명천실버복지관,명천동 1116 명천실버복지관,33475
상록수실버타운,"요양원,요양센터",대구 달서구 문화회관3길 25,장기동 270-22,42698
비엔날레실버타운,"요양원,요양센터",광주 북구 설죽로251번길 98,용봉동 884,61107
늘푸른실버타운,"요양원,요양센터",대구 달성군 화원읍 명천로 331 금화복지재단 늘푸른실버타운,설화리 658,42957
해피실버타운,"요양원,요양센터",부산 남구 동명로101번길 37-7,용호1동 295,48521
동해약천온천실버타운 온천,"온천,스파",강원 동해시 석두골길 145,망상동 459-10,25701
모랑가실버타운,"요양원,요양센터",전남 담양군 창평면 용수길 16,용수리 365-2,57390
부.산 실버타운,"요양원,요양센터",부산 부산진구 중앙대로910번길 37-1,양정동 342-11,47222
성심 실버타운,"요양원,요양센터",대구 달서구 와룡로15길 59,본리동 648-1,42695
늘푸른청춘실버타운,"요양원,요양센터",광주 광산구 도천남길 41-60,수완동 668-1,62244
행복한실버타운요양원,"요양원,요양센터",경남 김해시 번화1로80번길 5 7층 701호,대청동 62-2 7층 701호,50989
기장실버타운,"요양원,요양센터",부산 기장군 기장읍 죽성로 227,죽성리 734-2,46078
행복한실버타운요양원,"요양원,요양센터",부산 강서구 명지국제2로28번길 34 9층 901호,명지동 3603-7 9층 901호,46726
천유원실버타운,"요양원,요양센터",대구 북구 칠성남로36길 6,칠성동2가 302-114,41581
복음실버타운,"요양원,요양센터",대구 북구 칠곡중앙대로77길 14,태전동 1064-2,41451
남구실버타운,"요양원,요양센터",광주 남구 대남대로139번길 8,봉선동 1124-6,61688
아모르파티 늘봄실버타운요양원,"요양원,요양센터",경기 용인시 기흥구 중부대로681번길 31-3 늘봄실버타운요양원,상하동 283 늘봄실버타운요양원,16994
신세계실버타운,"요양원,요양센터",대구 북구 주좌길 26-17,학정동 127-2,41416
장성누리타운,아파트,전남 장성군 청운11길 11,장성읍 영천리 1475-5,57220
낙원대실버타운,"요양원,요양센터",부산 기장군 정관읍 용수공단2길 64-20,용수리 1047-2,
다인실버타운요양원,"요양원,요양센터",인천 서구 대곡로 415 다인실버타운요양원,대곡동 47-1 다인실버타운요양원,22600
서종 실버타운 요양원,"요양원,요양센터",경기 양평군 서종면 서능로 3 서종실버타운요양원,수능리 227-4 서종실버타운요양원,12504
"봄실버타운,요양원","요양원,요양센터",경북 포항시 북구 장량로128번길 28-11 봄실버타운,장성동 1430-1 봄실버타운,37588
통영실버타운요양원,"요양원,요양센터",경남 통영시 여황로 400-8,북신동 704,53042
에덴실버타운,"요양원,요양센터",대전 유성구 테크노중앙로 155,용산동 575,34028
수성윤정실버타운,"요양원,요양센터",대구 수성구 희망로 93-2 1~5층(중동),중동 532-566 1~5층(중동),42137
산청복음실버타운,"요양원,요양센터",경남 산청군 단성면 강누방목로401번길 79,방목리 268-1,52242
수목원실버타운,"요양원,요양센터",대구 달서구 갈밭로4길 43,대곡동 1061-2,42842
참사랑숲속실버타운,"요양원,요양센터",경북 구미시 형곡동로6길 16-17,형곡동 586-1,39317
왜전실버공동체실버타운,"요양원,요양센터",경남 함안군 산인면 신산1길 46,신산리 597-3,
백정애건강실버타운,"요양원,요양센터",울산 중구 백양로 205,성안동 406-10,44417
삼성실버타운,"요양원,요양센터",경북 구미시 송원서로2길 31 삼성실버타운,원평동 1060-24 삼성실버타운,39232
가현누리실버타운,"요양원,요양센터",경남 산청군 단성면 목화로474번길 14-2,소남리 169-1,
현대실버타운,"요양원,요양센터",대구 달서구 상화북로5길 5 현대실버타운,진천동 277 현대실버타운,42800
아름다운실버타운,"요양원,요양센터",인천 강화군 불은면 해안동로283번길 17,덕성리 481,23047
노인요양시설 사랑플러스실버타운,"요양원,요양센터",경북 구미시 상사동로 95 나동,임은동 497 나동,39335
양평실버타운 요양원,"요양원,요양센터",경기 양평군 용문면 용문산로 107,덕촌리 15-1,12511
하당실버타운요양원,"요양원,요양센터",전남 목포시 백년대로307번길 22-1 하당실버타운요양원,상동 25-1 하당실버타운요양원,58665
아산실버타운요양원,"요양원,요양센터",충남 아산시 번영로143번길 43,권곡동 524-6,31515
부영실버타운아파트,아파트,전북 김제시 하동1길 79-1,하동 404-20,54366
효누림실버타운 신관,"요양원,요양센터","경기 고양시 일산동구 고양대로 864-7 2층, 3층, 4층","중산동 35-15 2층, 3층, 4층",10311
봄빛실버타운요양원,"요양원,요양센터",경기 시흥시 도일로123번길 41 봄빛실버타운요양원,거모동 1738-5 봄빛실버타운요양원,15070
세종실버타운 평강요양원,"요양원,요양센터",세종 전동면 솔티로 361-15 세종실버타운,송성리 675-2 세종실버타운,30009
자연실버타운,"요양원,요양센터",인천 남동구 논고개로 273,도림동 355-7,21645
효성실버타운,"요양원,요양센터",대구 북구 도남길 92-52,도남동 624-5,41408
에이플러스백정애건강실버타운,"요양원,요양센터",울산 중구 백양로 208,성안동 407-3,44418
도울실버타운,"요양원,요양센터",전남 나주시 남평읍 남평2로 47,남평리 41,
SK실버타운,"요양원,요양센터",경기 시흥시 배곧4로 32-19,배곧동 128,15010
장성누리타운관리사무소,관리사무소,전남 장성군 장성읍 청운11길 11,영천리 1475-5,
햇살실버타운,"요양원,요양센터",경북 구미시 구미중앙로42길 8,송정동 442-3,39271
신도곡실버타운,"요양원,요양센터",전남 화순군 도곡면 지석로 1218-18,대곡리 779-1,58155
효누리실버타운,"요양원,요양센터",경북 김천시 농소면 남곡3길 43-33 효누리실버타운,월곡리 1184 효누리실버타운,
금상실버타운,"요양원,요양센터",경북 칠곡군 동명면 남원로 459-1,남원리 222-3,39855
명암실버타운,"요양원,요양센터",충북 제천시 봉양읍 명암로1길 37,봉양리 406-2,27109
포도나무실버타운,"요양원,요양센터",서울 송파구 가락로 2 금송빌딩,석촌동 221 금송빌딩 6층,05693
행복한실버타운요양원,"요양원,요양센터",충남 논산시 부적면 계백로 1493,마구평리 9-9,32914
도심형 실버타운,"요양원,요양센터",서울 중구 세종대로18길 8,태평로2가 53,04526
효누림실버타운 본관,"요양원,요양센터",경기 고양시 일산동구 고양대로 866-29,중산동 27-29,10311
에벤에셀실버타운요양원,"요양원,요양센터","경북 경산시 강변동로 264 에벤에셀빌 3층, 4층, 5층","중방동 232-3 에벤에셀빌 3층, 4층, 5층",38611
상주연세실버타운,"요양원,요양센터",경북 상주시 낙동면 영남제일로 841,신상리 474,37247
푸른실버타운,"요양원,요양센터",대구 동구 안심로22길 40-7 동흥타워,율하동 1444,41106
동서변실버타운,"요양원,요양센터",대구 북구 동변로20길 26,동변동 281,41412
수안보실버타운,생활형숙박시설,충북 충주시 수안보면 관동길 63 . 101호,온천리 36-1 . 101호,27497
흰돌실버타운101동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239
노인요양시설 선산실버타운,"요양원,요양센터",경북 구미시 선산읍 선상동로 104,생곡리 839-1,39107
혜민실버타운요양원,"요양원,요양센터",서울 광진구 자양로13길 13,자양동 627,05056
도담실버타운/요양원,"요양원,요양센터",충북 제천시 용두대로29안길 6-1,신월동 1117-4,27158
실버빌타운,주택,서울 송파구 위례성대로16길 18 실버타운,방이동 191-6 실버타운,05637
둥지원 실버타운,"요양원,요양센터",경기 양평군 용문면 용문로621번길 23-24,마룡리 39-1,
매그너스레지덴샬 실버타운 요양원,"요양원,요양센터",경기 남양주시 수동면 지둔로445번길 33-46 매그너스레지덴샬,지둔리 278-1,12028
산청한방실버타운,"요양원,요양센터",경남 산청군 금서면 친환경로 2016 산청성모노인전문요양원,평촌리 289,52230
호계실버타운요양원,"요양원,요양센터",경기 안양시 동안구 엘에스로 45,호계동 711-1,14121
옥곡실버타운,"요양원,요양센터",경북 경산시 옥실길24길 13,옥곡동 612,38691
시화실버타운요양원,"요양원,요양센터",경기 시흥시 서촌상가4길 20,정왕동 1730-4,15036
강북실버타운,"요양원,요양센터",대구 북구 칠곡중앙대로 525,읍내동 1206-4,41442
성은실버타운,"요양원,요양센터",경남 거창군 거창읍 거창대로 55 성은주상복합빌딩,대동리 931-3,50138
아름다운동행 실버타운,"요양원,요양센터",경북 상주시 내서면 북장1길 93-3 북장1길 89,북장리 213-2 북장1길 89,
청명실버타운,"요양원,요양센터",전남 나주시 남평읍 나주호로 558-15,산리 2173,58231
시니어실버타운,"요양원,요양센터",서울 금천구 독산로 217 4층,독산동 1037-57,08617
므두셀라 실버센터,"요양원,요양센터",서울 광진구 능동로 360 성곡빌딩,중곡동 41-16,04921
에벤에셀요양원실버타운,"요양원,요양센터",경남 합천군 야로면 가야산로 728,월광리 245,50204
베아투스 실버타운,"요양원,요양센터",경기 고양시 일산동구 고봉로770번길 112-11,설문동 756-52,10251
에덴실버타운,"요양원,요양센터",대구 동구 공항로 251 에덴실버타운,지저동 677-2 에덴실버타운,41046
포천부모님실버타운,"요양원,요양센터",경기 포천시 내촌면 금강로3029번길 3,신팔리 410,11188
내 고향 실버 타운,"요양원,요양센터",,39674,
동방실버타운요양원,"요양원,요양센터",경북 경산시 하양읍 금호강변로 660,금락리 375-40,38698
무안실버타운,"요양원,요양센터",전남 무안군 무안읍 무안로 322-18,성남리 489-1,58531
작은예수회실버타운,종교,경기 가평군 조종면 연인산로474번길 140-35,마일리 102-11,12433
노인요양시설조아재활전문실버타운,"요양원,요양센터",경북 구미시 봉곡북로 46 2층,봉곡동 185-3 2층,39208
예승실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로 628 예일프라자 9층 예승실버타운,화정동 1148-1 예일프라자 9층 예승실버타운,10503
대덕실버타운,"요양원,요양센터",대구 남구 대명남로 103,대명동 1021-1,42493
사랑샘실버타운,"요양원,요양센터",대전 서구 금평6길 10,흑석동 932,35426
강변늘푸른타운,아파트,경북 안동시 축제장1길 55 강변늘푸른타운,운흥동 346,36706
행복한실버타운,컨설팅,경기 양주시 장흥면 권율로 512 행복한실버타운,석현리 51-1 행복한실버타운,11519
마음다해실버타운,"요양원,요양센터",대구 달성군 논공읍 금강로10길 6-8,금포리 1362-2,42974
동호요양실버타운,"요양원,요양센터",경북 포항시 남구 호미곶면 해맞이로125번길 287,대보리 산136,37928
해맞이실버타운,"요양원,요양센터",경북 영덕군 영덕읍 매정길 88,매정리,36424
다사실버타운,"요양원,요양센터",대구 달성군 다사읍 죽곡1길 16-8 다사실버타운,죽곡리 192 다사실버타운,
푸른마을 실버타운,"요양원,요양센터",인천 강화군 강화읍 갑룡길206번길 55,용정리 865-2,23023
"백년사랑실버타운 요양원,주간보호","요양원,요양센터",경북 경산시 남산면 서원길 58-12 백년사랑실버타운,사월리 202 백년사랑실버타운,38572
가족실버타운요양원,"요양원,요양센터",경기 부천시 원미구 길주로363번길 24,춘의동 142-4,14529
그린실버타운,기업,,506305,
포은실버타운,"요양원,요양센터",경북 영천시 임고면 효자로 241-18,항리 506-9,38819
용.인 실버타운,"요양원,요양센터",경기 용인시 기흥구 중부대로 940,상하동 2,17089
장수효실버타운,"요양원,요양센터",경북 영주시 장수면 장수로255번길 27,반구리 228,36145
햇살실버타운,"요양원,요양센터",인천 강화군 강화읍 국화길 21,국화리 100,23028
실버타운-안흥개발,"요양원,요양센터",,635931,
앞산실버타운,"요양원,요양센터",대구 서구 북비산로 246 앞산실버타운,평리동 670-3 앞산실버타운,41771
하늘정원 실버타운 요양원,"요양원,요양센터",,445872,
대운실버타운,"요양원,요양센터",대구 달서구 중흥로16길 65,송현동 1990,42819
은혜실버타운,"요양원,요양센터",경기 고양시 덕양구 고양대로 1387 성원코아쇼핑센타 6층,성사동 704-4,10464
효담실버타운,"요양원,요양센터",전남 나주시 남평읍 원암길 39,풍림리 523-1,58226
노인요양시설 영남힐실버타운,"요양원,요양센터",경북 구미시 무을면 무을들길 100 노인요양시설 영남힐실버타운,무등리 280 노인요양시설 영남힐실버타운,39100
홍익원,"요양원,요양센터",충남 금산군 금산읍 후곤천길 73 디엔에스프라자,상리 34-13,32735
경산제일실버타운,"요양원,요양센터",경북 경산시 압량읍 부적길 79,부적리 783,38508
대한실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로 864 . 5층,죽곡리 117-3,42918
마루실버타운,"요양원,요양센터",경북 김천시 아포읍 금계길 43-18 마루실버타운,송천리 691-3 마루실버타운,39676
현풍효실버타운,기업,대구 달성군 현풍읍 테크노상업로 34,중리 497-1,43017
연광실버타운,"요양원,요양센터",대전 서구 영골길 151,오동 277,35424
사랑행복실버타운,"요양원,요양센터",경기 군포시 용호1로2번길 19 대림프라자 3충,당동 966-12 대림프라자 3층,15871
희망실버타운,"요양원,요양센터",경북 상주시 사벌국면 배목길 138-22,덕담리 926-1,37127
김.포 실버타운,"요양원,요양센터",경기 김포시 김포대로 2529,월곶면 갈산리 465-1,10023
다사랑실버타운,"요양원,요양센터",대구 동구 신암로14길 3,신암동 1289-20,41205
에덴실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로557번길 8-9 M&G프라자,행신동 998 앰앤지프라자 2층 전관,10518
다은실버타운,"요양원,요양센터",대구 달서구 월곡로 184 상인리빙프라자,상인동 1525-1,42811
포도나무실버타운,"요양원,요양센터",충남 보령시 오천면 원산도3길 215 포도나무실버타운,원산도리 692,
성림효사랑실버타운,"요양원,요양센터",대구 북구 신천동로 740,대현동 411-4,41572
백양사실버타운,"요양원,요양센터",전남 나주시 봉황면 송현제길 55,송현리 649-62,58237
금강전원실버요양원,"요양원,요양센터",대구 동구 금강로39길 61,금강동 429-1,41095
나눔실버타운,"요양원,요양센터",전남 나주시 남평읍 원암길 39,풍림리 523-1,58226
흰돌실버타운102동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239
대자연실버타운,"요양원,요양센터",경북 영천시 천문로 72-33,도동 252-7,38896
사랑마을실버타운,"요양원,요양센터",대구 달성군 옥포읍 용연사길 96,반송리 404,42977
다사효실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로92길 18,문산리 59-4,
실버타운월암점,"요양원,요양센터",경기 의왕시 월암새터마을길 6,월암동 353-7,16107
초원호텔앞교차로,교차로,,,
기성동 사랑샘 실버타운 지하 1층 대피소,민방위대피시설,대전 서구 금평6길 10,흑석동 932,35426
우주실버타운,기업,인천 옹진군 영흥면 영흥남로 15-20,외리 68-222,23121
시니어타운 마리스텔라,노인복지,인천 서구 심곡로100번길 31,심곡동 205-13,22711
흰돌실버타운 지하주차장 1층 대피소,민방위대피시설,부산 수영구 연수로260번길 53,망미동 774-283,48239
강동노인복지타운,노인복지,경북 구미시 인동가산로 473-38,신동 659-2,39444
실버캐슬요양타운,"요양원,요양센터",서울 양천구 신월로 107,신월7동 982-5,08044
실버세상요양타운,"요양원,요양센터",경기 동두천시 중앙로265번길 24 1층-4층,생연동 659-40,11328
영인실버케어타운,"요양원,요양센터",,477811,
거창실버레포츠타운,"도시,테마공원",,50126,
실버캐슬요양타운,"요양원,요양센터",서울 금천구 독산로 194,독산동 378-392,08562
부영실버타운아파트상가,"상가,아케이드",전북 김제시 하동1길 79-1,하동 404-20,54366
우디실버스튜디오,"상가,아케이드",경남 창원시 성산구 동산로61번길 8,상남동 104-12,51502
더시그넘하우스,노인복지,서울 강남구 자곡로 204-25,자곡동 664,06373
Silver 인현지하상가점,"상가,아케이드",인천 중구 참외전로 117-15 인현지하상가 66,인현동 1-1 인현지하상가 66,22317
서울시니어스 고창타워,노인복지,전북 고창군 고창읍 석정2로 140,석정리 830,
더클래식500,노인복지,서울 광진구 능동로 90 더 클래식 500,자양동 227-342 더 클래식 500,05065
삼성노블카운티,노인복지,경기 용인시 기흥구 덕영대로 1751,하갈동 471-3,17099
서울시니어스타워 강남본부,노인복지,서울 강남구 자곡로 100-2,자곡동 631,06373
더시그넘하우스 청라,노인복지,인천 서구 담지로 60,청라동 137-4,22733
사이언스빌리지,노인복지,대전 유성구 대덕대로 522,도룡동 441,34121
사랑나눔주간보호센터 신가점,재가노인요양센터,광주 광산구 목련로382번안길 34,신가동 296,62302
정원속궁전,노인복지,경기 성남시 분당구 불정로 112 피더하스,정자동 209,13606
서울시니어스타워 가양본부,노인복지,서울 강서구 화곡로68길 102,등촌동 637,07550
서울시니어스타워 강서본부,노인복지,서울 강서구 공항대로 315,등촌동 669-1,07591
서울시니어스타워 서울본부,노인복지,서울 중구 다산로 72 서울시니어스 서울타워,신당동 366-144 서울시니어스 서울타워,04597
서울시니어스타워 분당본부,노인복지,경기 성남시 분당구 구미로173번길 47,구미동 297-2,13619
KB골든라이프케어 평창카운티,노인복지,서울 종로구 평창문화로 87,평창동 153-3,03009
블루밍더클래식,노인복지,경기 하남시 하남대로 770,신장동 517,12950
함안양로원,노인복지,경남 함안군 대산면 대산중앙로 147-26,평림리 1040-2,52011
케어닥케어홈 배곧신도시점 1관,노인복지,경기 시흥시 배곧5로 66-8,배곧동 18-16,15010
대구성로원,노인복지,대구 달서구 진천로3길 80,진천동 700,42771
사회복지법인 백세재단 청라백세마을,노인복지,인천 서구 로봇랜드로249번길 14 청라백세실버타운,청라동 11-23 청라백세실버타운,22756
대구샘노인요양센터,재가노인요양센터,대구 달서구 진천로3길 80 1층,진천동 700 1층,42771
오로지종합복지원,노인복지,경기 안성시 양성면 미리내성지로 386-27,미산리 175-1,17500
동행 위드유 주간보호센터,노인복지,경북 문경시 상신로 47 1층 동행 위드유 주간보호센터,점촌동 462-3 1층 동행 위드유 주간보호센터,36955
주안 에쉐르카운티,노인복지,인천 미추홀구 주승로 110,주안동 1216-17,22231
덕인러브힐,노인복지,경남 창녕군 대지면 대초길 36-28,본초리 산35,50319
희망세상,"사회,복지",경북 상주시 사벌국면 배목길 138-22,덕담리 926-1,37127
파라다이스실버케어,"요양원,요양센터",경기 남양주시 진접읍 봉현로59번길 23-1 파라다이스실버케어,장현리 576-23 파라다이스실버케어,12007
다사재가노인복지센터,노인복지,대구 달성군 다사읍 죽곡1길 16-8,죽곡리 192,
하랑실버빌리지,"요양원,요양센터",경기 부천시 원미구 조마루로385번길 37 단독건물 (하랑실버빌리지빌딩),춘의동 205-17 단독건물 (하랑실버빌리지빌딩),14557
데이브실버케어,"요양원,요양센터",경기 고양시 덕양구 보광로 110 데이브실버케어,벽제동 518-7 데이브실버케어,10267
전국노인주거복지시설협회,노인복지,충남 천안시 동남구 목천읍 운전4길 6,운전리 41-9,
케어닥 방문요양돌봄센터 노블카운티점,재가노인요양센터,경기 용인시 기흥구 덕영대로 1751 2층,하갈동 471-3 2층,17099
가나의작은행복,노인복지,충북 음성군 원남면 하노길 180 가나의작은행복,하노리 124-1 가나의작은행복,27719
송산실버빌,"요양원,요양센터",광주 광산구 삼도세동길 9-11 송산실버빌,송산동 1235-2 송산실버빌,62406
새봄노인복지센터,노인복지,대구 북구 호국로 215 403호 새봄 노인복지센터,서변동 1787 403호 새봄 노인복지센터,41476
다올재활실버케어,"요양원,요양센터",경기 포천시 소흘읍 광릉수목원로 1163 다올재활실버케어,이동교리 733-42 다올재활실버케어,11184
연세숲속주간보호,재가노인요양센터,대구 북구 장태실길 13,팔달동 281-10,41490
계양데이케어센터,노인복지,인천 계양구 아나지로 191,효성동 273-101,21112
민들레실버요양원,"요양원,요양센터",울산 울주군 온양읍 솔밭1길 30-9 민들레실버요양원,대안리 204-2 민들레실버요양원,
푸른마을,노인복지,인천 강화군 강화읍 갑룡길206번길 55 푸른마을,용정리 865-2,23023
백세만세실버케어,"요양원,요양센터","경기 남양주시 진접읍 봉현로 67-5 1,2동","장현리 570 1,2동",12007
